algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order
greedy_search,65,48,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],0,0,0,"[0 1 2 3]"
a_star,56,35,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],0,0,160,"[0 1 2 3]"
greedy_search,65,49,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],0,1,0,"[0 1 2 3]"
a_star,45,34,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],0,1,160,"[0 1 2 3]"
greedy_search,65,48,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],1,0,0,"[0 1 2 3]"
a_star,51,35,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],1,0,160,"[0 1 2 3]"
greedy_search,65,49,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],1,1,0,"[0 1 2 3]"
a_star,45,34,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],1,1,160,"[0 1 2 3]"
greedy_search,65,48,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],2,0,0,"[0 1 2 3]"
a_star,56,35,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],2,0,160,"[0 1 2 3]"
greedy_search,65,49,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],2,1,0,"[0 1 2 3]"
a_star,45,34,17,[[14 1][14 2][14 3][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],2,1,160,"[0 1 2 3]"
greedy_search,65,48,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],3,0,0,"[0 1 2 3]"
a_star,57,35,17,[[14 1][14 2][15 2][15 3][16 3][17 3][18 3][19 3][20 3][21 3][22 3][23 3][24 3][25 3][26 3][27 3][28 3]], [28 3], [14 1],3,0,160,"[0 1 2 3]"
