algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order,pharmacies
greedy_search,14,39,14,[14 2][14 3][13 3][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],0,0,130,[0 1 2 3],[]
a_star,44,29,14,[14 2][14 3][13 3][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],0,0,130,[0 1 2 3],[]
greedy_search,14,40,14,[14 2][14 3][14 4][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],0,1,130,[0 1 2 3],[]
a_star,36,28,14,[14 2][14 3][14 4][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],0,1,130,[0 1 2 3],[]
greedy_search,14,39,14,[14 2][14 3][13 3][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],1,0,140,[0 1 2 3],[]
a_star,87,25,14,[14 2][13 2][13 3][12 3][11 3][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],1,0,185,[0 1 2 3],[]
greedy_search,14,40,14,[14 2][14 3][14 4][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],1,1,140,[0 1 2 3],[]
a_star,65,28,14,[14 2][13 2][12 2][11 2][10 2][9 2][8 2][7 2][6 2][5 2][4 2][3 2][3 3][3 4]],[3 4], [14 2],1,1,185,[0 1 2 3],[]
greedy_search,14,39,14,[14 2][14 3][13 3][13 4][12 4][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],2,0,132,[0 1 2 3],[]
a_star,62,30,14,[14 2][13 2][13 3][12 3][11 3][11 4][10 4][9 4][8 4][7 4][6 4][5 4][4 4][3 4]],[3 4], [14 2],2,0,153,[0 1 2 3],[]
